gene_secretome	Secretome_value
FUCA2	1
HS3ST1	1
SEMA3F	1
CCL18	1
CCL26	1
PRSS21	1
SPATA20	1
PGLYRP1	1
CPA1	1
DNASE1L1	1
RNASET2	1
CHPF2	1
MYOC	1
DCN	1
GRN	1
RCN1	1
CBLN4	1
CA11	1
KLK13	1
KLK14	1
PRSS22	1
PRLH	1
P4HA2	1
SPP2	1
FGF4	1
MASP1	1
BPIFB2	1
NTN1	1
SCT	1
CPB2	1
PVR	1
WISP2	1
CTSA	1
PLOD1	1
OXCT1	1
CCL7	1
CETP	1
PTHLH	1
CHRD	1
THPO	1
GNPTG	1
LAMB4	1
APOH	1
CCDC80	1
TPSD1	1
EFNA2	1
AMELY	1
FGF22	1
IGFALS	1
SERPIND1	1
MMP11	1
OSM	1
TCN2	1
ARSA	1
ACR	1
FOXRED2	1
CHADL	1
NID2	1
CTSG	1
GZMH	1
GZMB	1
COCH	1
ISM2	1
CHGA	1
PAPLN	1
R3HDML	1
CTSZ	1
RSPO4	1
PDYN	1
OXT	1
LBP	1
CST4	1
WFDC2	1
SPINT3	1
MXRA5	1
CHRDL1	1
F9	1
PCSK1N	1
TIMP1	1
ITIH6	1
GLA	1
ACP5	1
OLFM4	1
MMP2	1
CBLN1	1
CCL22	1
CCL17	1
PRSS54	1
NME3	1
PLA2G15	1
PDIA2	1
WFDC1	1
CTSH	1
KIAA1199	1
SCG3	1
TG	1
CPQ	1
SFRP1	1
PLAT	1
DKK4	1
WISP1	1
GML	1
FCGBP	1
MAN2B1	1
LHB	1
AMH	1
DKKL1	1
RETN	1
CYP4F2	1
EBI3	1
TGFB1	1
FGF21	1
DNASE2	1
COMP	1
HAMP	1
PON1	1
HGF	1
LAMB1	1
WNT16	1
CPA2	1
CPA4	1
TFPI2	1
NPVF	1
LFNG	1
FKBP14	1
CCL24	1
PCOLCE	1
SERPINE1	1
PLOD3	1
RARRES2	1
MRPL32	1
AEBP1	1
PTGS1	1
C5	1
RLN1	1
PTGDS	1
C8G	1
RBP3	1
GDF10	1
CCL3	1
MPO	1
ST6GALNAC2	1
EPX	1
CSF3	1
PIGL	1
CCL2	1
CCL1	1
CCL13	1
NAGLU	1
COL1A1	1
PPY	1
VTN	1
IBSP	1
CXCL6	1
AFM	1
AFP	1
SMR3A	1
PF4V1	1
MANBA	1
IL2	1
CTSC	1
APOA5	1
APOC3	1
SCGB2A2	1
HPR	1
IL23A	1
PRR4	1
MGP	1
ENDOU	1
IL26	1
IFNG	1
ACRBP	1
GPLD1	1
WISP3	1
LAMA4	1
LY86	1
LOX	1
GZMK	1
SPARC	1
IL12B	1
C1QTNF3	1
IL4	1
IL5	1
SEMA3G	1
LTF	1
FGFR3	1
HRG	1
FKBP7	1
TFPI	1
APOB	1
REG1A	1
IGFBP2	1
IGFBP5	1
WNT6	1
AZU1	1
PROC	1
PRTN3	1
CLCA1	1
ANGPTL1	1
SLAMF1	1
CD160	1
LEPRE1	1
FMO6P	1
CTSD	1
MMP8	1
APOA1	1
TTR	1
GHRH	1
SPP1	1
RARRES1	1
FGF23	1
C2orf40	1
PGF	1
NPC2	1
TGFB3	1
LIPF	1
INSL4	1
IFNA7	1
TNN	1
PLBD1	1
IAPP	1
ACHE	1
CPXM2	1
NPY	1
INHBA	1
FKBP9	1
SRGN	1
COL10A1	1
PLA2G12A	1
C4BPB	1
INHA	1
PI3	1
WFDC3	1
MATN4	1
SEMG1	1
IL17C	1
CEACAM8	1
COL21A1	1
SCGB1D2	1
SCGB2A1	1
BMP4	1
PSPN	1
C3	1
GNRH2	1
CST8	1
CSTL1	1
OTOR	1
DEFB129	1
SLURP1	1
CSN1S1	1
STATH	1
HTN1	1
DNASE1	1
GDF1	1
SDF2	1
CFP	1
OMG	1
IDUA	1
SPINK2	1
VPREB3	1
SDF2L1	1
LIF	1
VGF	1
CALU	1
LRRC17	1
GDF2	1
ISLR	1
MMP28	1
CCL4	1
CLEC11A	1
KLK12	1
KLK9	1
CMA1	1
INS	1
ANGEL1	1
IGSF21	1
LILRA3	1
CFHR4	1
ADAMTS2	1
PDGFRL	1
C19orf80	1
PRKCSH	1
APOE	1
APOC2	1
APOC1	1
NCAN	1
COLGALT1	1
NDUFA10	1
EPO	1
PXDN	1
GDF15	1
HRC	1
OLFM1	1
CYP2E1	1
LAMA5	1
ANGPTL6	1
BPIFB1	1
BPIFA2	1
DEFB118	1
C1QL1	1
CCL25	1
F12	1
NAPSA	1
AOC2	1
FSHB	1
CHSY1	1
EMILIN2	1
OC90	1
SERPINF1	1
IGJ	1
MATN2	1
CRP	1
HAPLN2	1
APCS	1
CHI3L1	1
CHIT1	1
CCDC134	1
NTS	1
SPINK5	1
PEBP4	1
ADAMDEC1	1
REG4	1
TSHB	1
FKBP11	1
SAA2	1
FST	1
CFHR5	1
GRP	1
ITIH5	1
C12orf39	1
GIF	1
TCN1	1
ADAMTS8	1
ACRV1	1
UPK3B	1
LACRT	1
GDF11	1
OS9	1
PRADC1	1
LAMC1	1
SERPINE2	1
IL6	1
AOAH	1
C7orf69	1
CHAD	1
CFC1	1
TOR1B	1
ORM1	1
CTSV	1
NOV	1
IFNA5	1
CCL21	1
CCL27	1
PSORS1C2	1
C6orf15	1
CLPS	1
FGFBP1	1
FGFBP2	1
IL18BP	1
PI15	1
GGH	1
SULF1	1
MMP7	1
MMP20	1
MMP27	1
MMP13	1
THBS1	1
CGREF1	1
CYP2C9	1
LOXL4	1
MSTN	1
CNTN1	1
EPYC	1
LYZ	1
LIPG	1
GALC	1
PZP	1
XYLT1	1
VWF	1
CASQ2	1
B9D1	1
ERP29	1
MESDC2	1
IL17B	1
THSD4	1
CILP	1
LOXL1	1
LTBP2	1
SERPINA10	1
ASAH1	1
TWSG1	1
SCPEP1	1
LPO	1
ALG1	1
CRISPLD2	1
ERP44	1
FBN2	1
ISM1	1
PCSK2	1
OGN	1
CECR1	1
KAL1	1
FBLN1	1
TIMP2	1
LGALS3BP	1
BPI	1
CNPY4	1
C19orf10	1
CRISP3	1
SCARF1	1
A1BG	1
NUCB1	1
GIPR	1
MIA	1
C9	1
C6	1
SIAE	1
LCN1	1
DBH	1
ELANE	1
CNTN3	1
CHRDL2	1
SDF4	1
IL7	1
GNLY	1
LCAT	1
TREH	1
LOXL3	1
NID1	1
NMU	1
BCHE	1
SEC31A	1
PCYOX1	1
IL21	1
GZMM	1
IL11	1
AGA	1
CP	1
FGF10	1
SERPINI2	1
KLKB1	1
F11	1
POMC	1
MMRN1	1
COL5A3	1
OLFM2	1
FRAS1	1
ARSB	1
BST1	1
KNG1	1
FETUB	1
VCAN	1
STC2	1
TNC	1
AMBP	1
SIL1	1
FN1	1
FSTL4	1
SEMA3C	1
SEMA3A	1
COL6A5	1
CPVL	1
WNT2	1
MTTP	1
PMEPA1	1
NPTX2	1
GAL	1
HPX	1
MLN	1
HYAL1	1
ITIH4	1
SLIT1	1
SFRP5	1
TIMP3	1
ERP27	1
C1RL	1
INHBE	1
LUM	1
KERA	1
DHH	1
NPFF	1
CBLN3	1
FGF7	1
ADAMTS17	1
HEXA	1
MFGE8	1
PRSS36	1
ARMC5	1
GALNS	1
TNFRSF11A	1
CBLN2	1
IGFBP4	1
CALR3	1
IL19	1
NTN5	1
ADAMTS10	1
PTH2	1
IGLON5	1
RCN3	1
FCN3	1
TINAGL1	1
COL16A1	1
PROK1	1
HMCN1	1
ECM1	1
ADAMTSL4	1
CTSK	1
SLC27A3	1
LEFTY1	1
WNT9A	1
REN	1
GDF7	1
PDIA6	1
REG3G	1
C1QL2	1
NXPH2	1
SUMF1	1
FAM198A	1
ITIH1	1
CNPY2	1
ABHD10	1
PLA1A	1
UCN2	1
SLIT2	1
AHSG	1
GC	1
SFRP2	1
PDGFC	1
ADAMTS16	1
GZMA	1
HAPLN1	1
CRHBP	1
LECT2	1
IL9	1
SPINK7	1
PCYOX1L	1
FGF18	1
PLA2G7	1
SCUBE3	1
VWDE	1
IGFBP3	1
IGFBP1	1
SRCRB4D	1
LAT2	1
CHST7	1
ARHGAP36	1
GNRH1	1
ERLIN2	1
CRH	1
RSPO2	1
IFNA1	1
ADAMTSL1	1
CNTNAP3B	1
LCN2	1
PAEP	1
LCN9	1
HABP2	1
ADM	1
SAA4	1
SCGB1A1	1
PAMR1	1
CD44	1
SERPING1	1
OOSP2	1
TMEM25	1
SPINT4	1
GPHA2	1
MMP10	1
CNTN5	1
PRB4	1
MIA2	1
VEGFC	1
PRSS23	1
PRSS53	1
FAM177A1	1
NUBPL	1
CFC1B	1
PTH	1
SPOCK1	1
TMED7-TICAM2	1
IGSF10	1
SPARCL1	1
DSPP	1
DMP1	1
LIPA	1
BMP3	1
ADAMTS18	1
PLOD2	1
CPB1	1
PAM	1
BMP6	1
ABI3BP	1
WNT3A	1
LY96	1
ADAMTS1	1
ADAMTS5	1
DKK2	1
MAN2B2	1
HSPA13	1
CYP2C18	1
PDIA4	1
OTOA	1
WIF1	1
ADAMTS3	1
NAAA	1
CXCL13	1
GDF6	1
NODAL	1
PRG3	1
NPTN	1
SST	1
GHRL	1
LYZL4	1
TIMP4	1
PDF	1
CLEC18A	1
TAC1	1
WNT9B	1
CELA3A	1
STC1	1
GFRA4	1
RGL4	1
PGLYRP3	1
TEPP	1
AGRP	1
PIP	1
HAPLN4	1
CILP2	1
TFF2	1
TFF1	1
C21orf33	1
KLK8	1
FCN2	1
CYP2A7	1
RDH13	1
GPC2	1
AZGP1	1
FGFR4	1
MGAT4B	1
PGLYRP2	1
SCGB3A1	1
CCL5	1
LYZL6	1
CCL16	1
CCL15	1
CCL23	1
HCRT	1
DCD	1
WNT1	1
